post_id,raw_slug,reason,details
1828,"denning-transportation-inc",not_gd_place,"listing"
1829,"robert-punt-trucking",not_gd_place,"listing"
1830,"ao-express",not_gd_place,"listing"
1831,"arrow-truck-line-inc",not_gd_place,"listing"
1832,"the-last-rebel-trucking-llc",not_gd_place,"listing"
1833,"randel-tjeerdsma-trucking",not_gd_place,"listing"
1834,"mitzel-and-sons-trucking-and-loaders",not_gd_place,"listing"
1835,"bill-soulek-trucking",not_gd_place,"listing"
1836,"habeck-trucking-inc",not_gd_place,"listing"
1837,"gregory-transport-inc",not_gd_place,"listing"
1838,"bultsma-truck-line",not_gd_place,"listing"
1839,"connolly-transport-llc",not_gd_place,"listing"
1840,"gruenhagen-trucking",not_gd_place,"listing"
1841,"carlson-trucking",not_gd_place,"listing"
1842,"charles-baker-trucking",not_gd_place,"listing"
1843,"b-g-transportation-inc",not_gd_place,"listing"
1844,"fiedler-trucking",not_gd_place,"listing"
1845,"anmaur-enterprises-inc",not_gd_place,"listing"
1846,"anders-trucking",not_gd_place,"listing"
1847,"selland-trucking",not_gd_place,"listing"
1848,"ellwein-equipment",not_gd_place,"listing"
1849,"elson-implement",not_gd_place,"listing"
1850,"farmers-implement-and-irrigatio",not_gd_place,"listing"
1851,"johnson-implement-inc",not_gd_place,"listing"
1852,"westside-implement",not_gd_place,"listing"
1853,"lorenzen-equipment",not_gd_place,"listing"
1854,"okeefe-implement",not_gd_place,"listing"
1855,"darren-boyle-sales",not_gd_place,"listing"
1856,"kadlec-sales-repair",not_gd_place,"listing"
1857,"lake-county-international",not_gd_place,"listing"
1858,"goldammer-inc",not_gd_place,"listing"
1859,"lamb-chevrolet-implement",not_gd_place,"listing"
1860,"kennedy-implement",not_gd_place,"listing"
1861,"jenner-equipment",not_gd_place,"listing"
1862,"puthoff-sales-sales-service-inc",not_gd_place,"listing"
1863,"rushmore-equipment",not_gd_place,"listing"
1864,"berndt-farm-equipment",not_gd_place,"listing"
1865,"fabers-farm-equipment",not_gd_place,"listing"
1866,"l-double-j-implement",not_gd_place,"listing"
1867,"mathis-implement",not_gd_place,"listing"
1873,"pioneer-meats",not_gd_place,"listing"
1874,"4th-avenue-meat-market",not_gd_place,"listing"
1875,"bridger-mtn-meats",not_gd_place,"listing"
1876,"western-meat-and-sausage-block",not_gd_place,"listing"
1877,"levs-meat-shop",not_gd_place,"listing"
1878,"tg-processing-llc",not_gd_place,"listing"
1879,"beaverhead-meats",not_gd_place,"listing"
1880,"big-sandy-meat-shop-llc",not_gd_place,"listing"
1881,"treasure-trail-meat-processing",not_gd_place,"listing"
1882,"craigs-meat-processing",not_gd_place,"listing"
